// Auto-generated by Matt Caspermeyer 19-Oct-2022 for Hyperion Lite Mod V1.5 - see bottom of file for changes
//
// Hyperionized base V1.5 UNIT.DAT
// Note that placeholders are for potential future units, but also to prevent loading of older Hyperion galaxies from crashing
// since they use many of the tlLvls in the unit slots.
//
// Codes for where a unit can be built (from STRBUILD.DAT):
//
//  0 Palace         1 Church  
//  2 Monastery      3 Factory  
//  4 Agora          5 Wetware  
//  6 Electronics    7 Hive (Symbiots)  
//  8 Ceramsteel     9 Bioplant  
// 10 Vau city      11 Chemicals  
// 12 Cyclotron     13 Fort  
// 14 Starport      15 Ruins  
// 16 Alien Ruins   17 Shield  
// 18 Mine          19 Well  
// 20 Fusorium      21 Unknown (University in Galaxy Editor and Hyperion)
// 22 Hospital      23 Lab   
// 24 Farm          25 Arborium  
// 99 Anywhere
// -1 means the unit cannot be built anywhere (i.e. is disabled from the game or cannot be built be human players)
// 
// -1 in the unit needed to build column means there is no unit requirement to build that unit
//
// Attack Mode  Number of Attacks
//
// Underwater          4   
// Indirect            2   
// Air                 2   
// Direct              3   
// Close               4   
// Psychic             2   
// RangeSp             2   
// DirectSp            3   
// CloseSp             4   
//
// Unit Stats
//
// V2015-03-20 (Matt):
//   * New column: tLvl that is used with the unit column to speciy both the input unit and its tLvl
//     & The tLvl is the unit number of a unit slot (for example, Grapplers are 0, Blademasters are 1, and Dopplegangers are 2)
// V2015-03-19 (Matt):
//   * New column Icon for the Chiclet BMP Icon (either from ESFUNIT.BIN or specify an actual BMP file).
//     & Note that 32x32 icons in EFSUNIT.BIN will be loaded in the order in the unit table and so if you specify multiple
//       EFSUNIT.BIN entries for the same unit slot, then the next 32x32 icon will be loaded from it. If you want it to use
//       the same icon as before, then use "same".
// V2015-03-10 (Matt):
//   * New column Disband, which determines whether a unit can be disbanded
// V2015-03-09 (Matt):
//   * New Kind column (this augments the unit's slot number by allowing the kind number to also behave like a unit slot)
//     & The game checks both the slot number and kind and if one of them matches the number below, then it acts like that unit
//     & This allows you, for example, to set a unit not in slot 45 to be kind 45 and therefore the game will treat the unit as a Noble.
//     & -1: Normal (nothing special) or a number not in this list (the same as the unit's slot number, for example)
//     & 11: Stealth Ship (can attack in space above Byzantium II)
//     & 16: Space Carrier (can launch cargo during space battles)
//     & 23: Submarine (can attack on the surface of Byzantium II)
//     & 26: Naval Carrier (can refuel aircraft)
//     & 28: Sceptor (act like game sceptor)
//     & 29: Relic (acts like game relic)
//     & 37: Vau Worker (can build Vau cities)
//     & 44: Symbiot Nester (can build Symbiot cities)
//     & 45: Noble (acts like game Noble)
//     & 46: Warlock (acts like game Warlock)
//     & 47: Inquisitor (unit will be built and used by The Church to attack Labs)
//     & 48: Dervish (ranks the unit as a Noble for combat)
//     & 49: Spy (acts like game Spy and can attack on the surface of Byzantium II)
//     & 51: Officer (acts like game Officer)
//     & 52: Clergy (acts like game Clergy)
//     & 53: Engineer (the unit can build cities just like an Engineer)
//     & 71: Plague Artillery (acts like game Plague Artillery)
//     & 83: Infantry (acts like game Infantry)
//     & 84: Militia (acts like game Militia)
//     & 85: Anti-Air Gun (acts like game Anti-Air Gun)
//     & 86: Anti-Tank Gun (acts like game Anti-Tank Gun)
//     & 87: Artillery (acts like game Artillery)
//     & 88: Plague Bomb (acts like game Plague Bomb)
//     & 91: Cargo Pod (this one is technically tied to its unit slot)
//   * New Owner column (the player that can build this unit):
//     & -1: Any owner
//     & 0 - 4: Li Halan - al-Malik
//     & 5: League
//     & 6: The Church
//     & 7: Symbiot
//     & 8: Vau
//     & 9: Imperial Guard
//     & 10: Imperial Fleet
//     & 11: Stigmata Garrison
//     & 12: Imperial Eye
//     & 13: Rebels
// V2015-02-21 (Matt):
//   * Submarine is now Underwater movement type
//   * Marauder Lgn is now Mech movement type
//   * Vau War Tower is now Gate movement type
//
// -1 in the unit needed to build column means you don't need any unit to build
//
// The number before the abbreviation is the type of plural extension.
// 0 means none, 1 means 's', 2 means 'es', and 3 means replace y with 'ies'.
//----|------------------------------------------------------------|----------------------------|------------------------------------------|----------------------------------------------------------------------------------------------------------------------------|-------------------|---------|----------------|---------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------|----------------------------------------|--------------------------------------------------|------------------------------------------|
//    |      U  n  i  q  u  e         N  a  m  e  s                |   B  e  h  a  v  i  o  r   | U  n  i  t   S  t  a  t  i  s  t  i  c  s|                              C  o  m  b  a  t                                   W  e  a  p  o  n  r  y                     |   C  a  r  g  o   |         | C  o  s  t  s  |                  R  e  s  o  u  r  c  e  s          R  e  q  u  i  r  e  d          t  o          B  u  i  l  d                       |     B  u  i  l  d    N  e  e  d  s      |    T e c h   R e q u i r e m e n t s   |        M  i  s  c  e  l  l  a  n  e  o  s        |           A  r  t  w  o  r  k            |
//    | Name                            |    |       | Nickname    |       | Move Type   | Kind | Move | Spot | Camo | Ag | Armor | PsyDef |    Water      |  Indirect   |     Air     |   Direct    |   Close     |    Psy      |  RangedSp   |  DirectSp   |  CloseSp | Cargo | CanBCargo | !Combat | Crd/Trn | Cred | Food | Energy | Metal | Trace | Exotica | Chemicals | Biochems | Electronics | CeramSteel | Wetware | Monopols | Gems | Singularities | Unit | tLvl | Bldgs | Owner | Turns2Bld |  0   1   2   3   4   5   6   7   8   9 | Tax | Flock | Range | Eat | Rank | RoP | Disband |  Art  |    Animation    |      Icon      |
//----|------------------------------------------------------------|----------------------------|------------------------------------------|----------------------------------------------------------------------------------------------------------------------------|-------------------|---------|----------------|---------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------|----------------------------------------|--------------------------------------------------|------------------------------------------|
{0
"name" "Grappler"                        "1" "abbrev" "Grappler"    "stats" "jump            0      5     11     11     7     50      50       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     7     50     0        0           0         873     8732    0        0      83       0         0          0          0           9             0           0        29        0         1           -1     -1       7       7        8        0   0   0   0   0   0   0   0   0   0    0      1       1      0      1     1       1"     "art"       "grap.flc"     "efsunit.bin"
"name" "Hyperion Full 0.1 Unit"          "1" "abbrev" "0.1 Unit"    "stats" "jump            0      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"       "grap.flc"            "same"
"name" "Hyperion Full 0.2 Unit"          "1" "abbrev" "0.2 Unit"    "stats" "jump            0      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"       "grap.flc"            "same"
"name" "Hyperion Full 0.3 Unit"          "1" "abbrev" "0.3 Unit"    "stats" "jump            0      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"       "grap.flc"            "same"
"name" "Hyperion Full 0.4 Unit"          "1" "abbrev" "0.4 Unit"    "stats" "jump            0      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"       "grap.flc"            "same"
"name" "Hyperion Full 0.5 Unit"          "1" "abbrev" "0.5 Unit"    "stats" "jump            0      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"       "grap.flc"            "same"
}
{1
"name" "Blow Ship"                       "1" "abbrev" "Blow Ship"   "stats" "jump            1      5     13     13     5    120     120       0      0       0      0      0      0      0      0      0      0      0      0      5    120      0      0     0      0     0        0           0        1009    10094    0        0     120       0         0          0          0           3            20           0        34        0         1           -1     -1       7       7        9        0   0   0   0   0   0   0   0   0   0    0      1       1      0      2     1       1"     "art"      "puff2.flc"     "efsunit.bin"
"name" "Hyperion Full 1.1 Unit"          "1" "abbrev" "1.1 Unit"    "stats" "jump            1      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"      "puff2.flc"            "same"
"name" "Hyperion Full 1.2 Unit"          "1" "abbrev" "1.2 Unit"    "stats" "jump            1      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"      "puff2.flc"            "same"
"name" "Hyperion Full 1.3 Unit"          "1" "abbrev" "1.3 Unit"    "stats" "jump            1      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"      "puff2.flc"            "same"
"name" "Hyperion Full 1.4 Unit"          "1" "abbrev" "1.4 Unit"    "stats" "jump            1      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"      "puff2.flc"            "same"
"name" "Hyperion Full 1.5 Unit"          "1" "abbrev" "1.5 Unit"    "stats" "jump            1      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"      "puff2.flc"            "same"
}
{2
"name" "Spore Ship"                      "1" "abbrev" "Spore"       "stats" "jump            2      5     12     12     6     80      80       0      0       0      0      0      0      0      0      0      0      0      0      0      0      6     80     7     50     0        0           0         786     7857    0        0     133       0         0          0          0           6             0           0        23        0         1           -1     -1       7       7        9        0   0   0   0   0   0   0   0   0   0    0      1       1      0      3     1       1"     "art"      "pdshp.flc"     "efsunit.bin"
"name" "Hyperion Full 2.1 Unit"          "1" "abbrev" "2.1 Unit"    "stats" "jump            2      0      0      0     0      0       0       0      0       0      0      0      0      0      0      0      0      0      0      0      0      0      0     0      0     0        0           0           0        0    0        0       0       0         0          0          0           0             0           0         0        0         0           -1     -1      -1      -1        1        0   0   0   0   0   0   0   0   0   0    0      0       0      0      0     0       0"     "art"      "pdshp.flc"            "same"
